"","Age","Hours.per.day","While.working","Instrumentalist","Composer","Fav.genre","Exploratory","Foreign.languages","Anxiety","Depression","Insomnia","OCD"
"331","Age 18-24","2 < hours <= 4","Listening while working","Instrumentalist","Composer","EDM","Exploring","Only fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"332","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Lofi","Exploring","Not Fluent","Anxious","Depressed","Insomniac","Not O-C"
"333","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Country","Exploring","Not Fluent","Anxious","Fairly Depressed","Insomniac","Fairly O-C"
"334","Age 25-34","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Anxious","Depressed","Not Insomniac","O-C"
"335","Age 35-44","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"336","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Country","Exploring","Only fluent","Fairly Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"337","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","O-C"
"338","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Video game music","Exploring","Not Fluent","Anxious","Depressed","Insomniac","Not O-C"
"339","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","EDM","Non-exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","O-C"
"340","Age 35-44","2 < hours <= 4","Not listening while working","Instrumentalist","Non-composer","Folk","Exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","O-C"
"341","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Hip hop","Non-exploring","Only fluent","Not Anxious","Depressed","Fairly Insomniac","Not O-C"
"342","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","Fairly O-C"
"343","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Video game music","Non-exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"344","Age 18-24","2 < hours <= 4","Listening while working","Instrumentalist","Composer","Rock","Exploring","Not Fluent","Anxious","Depressed","Not Insomniac","O-C"
"345","Age < 18","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Folk","Non-exploring","Only fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"346","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","K pop","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"347","Age 25-34","hours <= 2","Listening while working","Instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","Fairly O-C"
"348","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Composer","Jazz","Exploring","Not Fluent","Not Anxious","Not Depressed","Fairly Insomniac","Fairly O-C"
"349","Age < 18","4 < hours <= 6","Listening while working","Instrumentalist","Non-composer","Classical","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"350","Age < 18","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","EDM","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"351","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"352","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","K pop","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"353","Age < 18","hours <= 2","Not listening while working","Instrumentalist","Non-composer","Rap","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Fairly Insomniac","Fairly O-C"
"354","Age < 18","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"355","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Lofi","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"356","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Video game music","Non-exploring","Not Fluent","Not Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"357","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Jazz","Exploring","Only fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"358","Age < 18","6+ hours","Listening while working","Instrumentalist","Non-composer","EDM","Exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"359","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Anxious","Depressed","Insomniac","Not O-C"
"360","Age < 18","6+ hours","Listening while working","Instrumentalist","Composer","EDM","Exploring","Only fluent","Anxious","Depressed","Insomniac","Not O-C"
"361","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Fairly O-C"
"362","Age < 18","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Only fluent","Fairly Anxious","Fairly Depressed","Insomniac","O-C"
"363","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Only fluent","Anxious","Not Depressed","Insomniac","Not O-C"
"364","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Hip hop","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"365","Age < 18","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Folk","Exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"366","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"367","Age < 18","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Insomniac","Not O-C"
"368","Age 35-44","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"369","Age 25-34","hours <= 2","Listening while working","Instrumentalist","Non-composer","Classical","Exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","Fairly O-C"
"370","Age < 18","hours <= 2","Listening while working","Instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"371","Age 25-34","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"372","Age 18-24","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","Classical","Non-exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"373","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Hip hop","Exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"374","Age < 18","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Anxious","Depressed","Insomniac","Fairly O-C"
"375","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"376","Age < 18","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Fairly Anxious","Depressed","Not Insomniac","Fairly O-C"
"377","Age 55-64","4 < hours <= 6","Listening while working","Non-instrumentalist","Composer","Rock","Exploring","Only fluent","Anxious","Fairly Depressed","Insomniac","Not O-C"
"378","Age 25-34","2 < hours <= 4","Listening while working","Instrumentalist","Composer","Lofi","Exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"379","Age 25-34","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","Rock","Non-exploring","Not Fluent","Not Anxious","Not Depressed","Insomniac","Not O-C"
"380","Age < 18","hours <= 2","Listening while working","Instrumentalist","Non-composer","Pop","Exploring","Only fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"381","Age 25-34","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"382","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Fairly Anxious","Not Depressed","Fairly Insomniac","O-C"
"383","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"384","Age 18-24","2 < hours <= 4","Not listening while working","Instrumentalist","Non-composer","Classical","Exploring","Only fluent","Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"385","Age < 18","hours <= 2","Listening while working","Instrumentalist","Composer","Classical","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"386","Age < 18","2 < hours <= 4","Listening while working","Instrumentalist","Composer","Classical","Non-exploring","Only fluent","Anxious","Depressed","Insomniac","Fairly O-C"
"387","Age < 18","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Video game music","Non-exploring","Not Fluent","Anxious","Not Depressed","Not Insomniac","Not O-C"
"388","Age < 18","hours <= 2","Listening while working","Instrumentalist","Non-composer","Pop","Exploring","Only fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"389","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Only fluent","Fairly Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"390","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Pop","Non-exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"391","Age 45-54","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Classical","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"392","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","K pop","Exploring","Not Fluent","Anxious","Fairly Depressed","Fairly Insomniac","Fairly O-C"
"393","Age < 18","hours <= 2","Listening while working","Instrumentalist","Non-composer","Classical","Exploring","Only fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"394","Age < 18","2 < hours <= 4","Listening while working","Instrumentalist","Composer","Classical","Exploring","Only fluent","Anxious","Fairly Depressed","Insomniac","Not O-C"
"395","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Composer","Country","Exploring","Only fluent","Anxious","Fairly Depressed","Fairly Insomniac","Fairly O-C"
"396","Age < 18","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","Classical","Exploring","Only fluent","Fairly Anxious","Depressed","Insomniac","Not O-C"
"397","Age < 18","hours <= 2","Not listening while working","Instrumentalist","Non-composer","Classical","Exploring",NA,"Not Anxious","Not Depressed","Fairly Insomniac","Not O-C"
"398","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Rap","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"399","Age < 18","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Folk","Exploring","Not Fluent","Fairly Anxious","Depressed","Insomniac","Fairly O-C"
"400","Age 18-24","4 < hours <= 6","Listening while working","Instrumentalist","Non-composer","Classical","Non-exploring","Only fluent","Fairly Anxious","Depressed","Not Insomniac","Not O-C"
"401","Age < 18","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","O-C"
"402","Age 35-44","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"403","Age 18-24","hours <= 2","Not listening while working","Instrumentalist","Non-composer","Rock","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"404","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rap","Non-exploring","Only fluent","Fairly Anxious","Not Depressed","Fairly Insomniac","Fairly O-C"
"405","Age 55-64","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","R&B","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"406","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Not Anxious","Fairly Depressed","Insomniac","Not O-C"
"407","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Pop","Non-exploring","Not Fluent","Anxious","Depressed","Insomniac","Not O-C"
"408","Age 25-34","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Hip hop","Exploring","Not Fluent","Fairly Anxious","Depressed","Insomniac","Not O-C"
"409","Age < 18","2 < hours <= 4","Listening while working",NA,"Composer","Classical","Non-exploring","Only fluent","Anxious","Depressed","Insomniac","Not O-C"
"410","Age < 18","2 < hours <= 4","Listening while working","Instrumentalist","Composer","Classical","Exploring","Only fluent","Anxious","Fairly Depressed","Insomniac","Fairly O-C"
"411","Age 55-64","hours <= 2","Listening while working","Instrumentalist","Composer","Rock","Exploring","Only fluent","Not Anxious","Not Depressed","Insomniac","Not O-C"
"412","Age < 18","hours <= 2","Listening while working","Instrumentalist","Composer","Classical","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"413","Age 25-34","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","EDM","Non-exploring","Not Fluent","Anxious","Depressed","Insomniac","Not O-C"
"414","Age < 18","hours <= 2","Listening while working","Instrumentalist","Non-composer","Country","Non-exploring","Only fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"415","Age < 18","hours <= 2","Listening while working","Instrumentalist","Non-composer","Classical","Exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Fairly O-C"
"416","Age 65+","2 < hours <= 4","Listening while working","Instrumentalist","Composer","Classical","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"417","Age < 18","2 < hours <= 4","Listening while working","Instrumentalist","Composer","R&B","Exploring","Not Fluent","Anxious","Depressed","Insomniac","Not O-C"
"418","Age 25-34","6+ hours","Listening while working","Instrumentalist","Composer","Jazz","Exploring","Not Fluent","Anxious","Fairly Depressed","Fairly Insomniac","Fairly O-C"
"419","Age 18-24","2 < hours <= 4","Not listening while working","Instrumentalist","Non-composer","Classical","Exploring","Only fluent","Anxious","Not Depressed","Fairly Insomniac","Not O-C"
"420","Age 35-44","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Not Anxious","Not Depressed","Fairly Insomniac","Not O-C"
"421","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Non-composer","EDM","Exploring","Only fluent","Anxious","Depressed","Insomniac","O-C"
"422","Age < 18","4 < hours <= 6","Listening while working","Instrumentalist","Non-composer","Classical","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"423","Age < 18","hours <= 2","Listening while working","Instrumentalist","Non-composer","Video game music","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Fairly Insomniac","Not O-C"
"424","Age 18-24","4 < hours <= 6","Listening while working","Instrumentalist","Composer","Metal","Exploring","Not Fluent","Not Anxious","Not Depressed","Fairly Insomniac","Not O-C"
"425","Age 18-24","2 < hours <= 4","Listening while working","Instrumentalist","Composer","Classical","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"426","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"427","Age 25-34","6+ hours",NA,"Non-instrumentalist","Non-composer","K pop","Exploring","Not Fluent","Anxious","Depressed","Insomniac","O-C"
"428","Age 25-34","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","Classical","Exploring","Not Fluent","Anxious","Depressed","Insomniac","Not O-C"
"429","Age 65+","4 < hours <= 6","Listening while working","Instrumentalist","Composer","Rock","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"430","Age 65+","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","R&B","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"431","Age < 18","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Anxious","Fairly Depressed","Insomniac","O-C"
"432","Age 18-24","2 < hours <= 4","Not listening while working","Instrumentalist","Non-composer","Rap","Exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"433","Age < 18","hours <= 2","Listening while working","Instrumentalist","Non-composer","Classical","Non-exploring","Only fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"434","Age < 18","hours <= 2","Listening while working","Instrumentalist","Composer","Classical","Exploring","Not Fluent","Anxious","Not Depressed","Not Insomniac","Fairly O-C"
"435","Age 35-44","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Hip hop","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"436","Age < 18","4 < hours <= 6","Listening while working","Instrumentalist","Non-composer","K pop","Exploring","Not Fluent","Anxious","Depressed","Insomniac","O-C"
"437","Age < 18","6+ hours","Listening while working","Non-instrumentalist","Non-composer","R&B","Exploring","Not Fluent","Anxious","Depressed","Insomniac","Fairly O-C"
"438","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Country","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"439","Age 35-44","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Video game music","Non-exploring","Only fluent","Fairly Anxious","Fairly Depressed","Insomniac","Not O-C"
"440","Age 18-24","hours <= 2","Not listening while working","Non-instrumentalist","Composer","Hip hop","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Fairly O-C"
"441","Age < 18","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","EDM","Exploring","Only fluent","Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"442","Age 18-24","hours <= 2","Listening while working","Instrumentalist","Non-composer","Folk","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"443","Age < 18","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Rap","Exploring","Only fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"444","Age < 18","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Not Anxious","Not Depressed","Fairly Insomniac","O-C"
"445","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Composer","Rock","Exploring","Only fluent","Fairly Anxious","Not Depressed","Fairly Insomniac","Not O-C"
"446","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Anxious","Fairly Depressed","Insomniac","Not O-C"
"447","Age < 18","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Classical","Exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"448","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Fairly O-C"
"449","Age < 18","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Only fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"450","Age 25-34","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"451","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Lofi","Exploring","Not Fluent","Anxious","Fairly Depressed","Insomniac","O-C"
"452","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Fairly Anxious","Depressed","Insomniac","Not O-C"
"453","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Only fluent","Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"454","Age 55-64","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"455","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Video game music","Non-exploring","Not Fluent","Anxious","Fairly Depressed","Not Insomniac","O-C"
"456","Age 25-34","hours <= 2","Not listening while working","Instrumentalist","Non-composer","Rock","Non-exploring","Not Fluent","Not Anxious","Depressed","Insomniac","Not O-C"
"457","Age 45-54","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Only fluent","Fairly Anxious","Fairly Depressed","Insomniac","Not O-C"
"458","Age 25-34","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Not Anxious","Not Depressed","Insomniac","Not O-C"
"459","Age 18-24","hours <= 2","Not listening while working","Instrumentalist","Composer","Metal","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"460","Age 35-44","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Not Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"461","Age 18-24","2 < hours <= 4","Not listening while working","Non-instrumentalist","Non-composer","Hip hop","Exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"462","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Video game music","Non-exploring","Not Fluent","Anxious","Depressed","Insomniac","Not O-C"
"463","Age 35-44","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Not Anxious","Not Depressed","Insomniac","Not O-C"
"464","Age 25-34","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Hip hop","Exploring","Only fluent","Not Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"465","Age 45-54","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"466","Age < 18","6+ hours","Not listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"467","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Video game music","Non-exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"468","Age 35-44","2 < hours <= 4","Not listening while working","Non-instrumentalist","Non-composer","Country","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"469","Age 18-24","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Folk","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"470","Age 35-44","2 < hours <= 4","Not listening while working","Non-instrumentalist","Non-composer","Metal","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"471","Age 55-64","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Fairly Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"472","Age 25-34","hours <= 2","Not listening while working","Instrumentalist","Non-composer","Rock","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"473","Age 18-24","4 < hours <= 6","Listening while working","Instrumentalist","Non-composer","Country","Exploring","Only fluent","Fairly Anxious","Depressed","Not Insomniac","Not O-C"
"474","Age 55-64","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Only fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"475","Age 55-64","hours <= 2","Listening while working","Instrumentalist","Composer","Classical","Exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"476","Age 65+","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Anxious","Fairly Depressed","Insomniac","Fairly O-C"
"477","Age 65+","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Country","Non-exploring","Only fluent","Anxious","Fairly Depressed","Fairly Insomniac","Not O-C"
"478","Age 55-64","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"479","Age < 18","hours <= 2","Listening while working","Instrumentalist","Composer","Pop","Exploring","Only fluent","Anxious","Depressed","Insomniac","O-C"
"480","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","EDM","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Insomniac","Not O-C"
"481","Age 55-64","2 < hours <= 4","Listening while working","Non-instrumentalist","Non-composer","Hip hop","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Insomniac","Not O-C"
"482","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Lofi","Exploring","Not Fluent","Fairly Anxious","Depressed","Fairly Insomniac","Not O-C"
"483","Age 18-24","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","Lofi","Exploring","Only fluent","Anxious","Depressed","Fairly Insomniac","O-C"
"484","Age 45-54","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Classical","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"485","Age 18-24","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Rock","Exploring","Not Fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"486","Age 55-64","6+ hours","Listening while working","Non-instrumentalist","Non-composer","Rock","Non-exploring","Only fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"487","Age 45-54","hours <= 2","Listening while working","Instrumentalist","Non-composer","Metal","Non-exploring","Only fluent","Anxious","Depressed","Not Insomniac","Fairly O-C"
"488","Age < 18","hours <= 2","Listening while working","Instrumentalist","Non-composer","K pop","Exploring","Not Fluent","Fairly Anxious","Fairly Depressed","Not Insomniac","Not O-C"
"489","Age 18-24","2 < hours <= 4","Listening while working","Instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Anxious","Depressed","Fairly Insomniac","Not O-C"
"490","Age 25-34","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Pop","Exploring","Not Fluent","Anxious","Fairly Depressed","Fairly Insomniac","Fairly O-C"
"491","Age 65+","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Gospel","Non-exploring","Not Fluent","Not Anxious","Not Depressed","Not Insomniac","Not O-C"
"492","Age 55-64","hours <= 2","Not listening while working","Instrumentalist","Composer","Gospel","Non-exploring","Only fluent","Fairly Anxious","Not Depressed","Insomniac","Not O-C"
"493","Age 18-24","hours <= 2","Listening while working","Non-instrumentalist","Composer","Video game music","Non-exploring","Only fluent","Fairly Anxious","Fairly Depressed","Insomniac","Not O-C"
"494","Age 18-24","4 < hours <= 6","Listening while working","Non-instrumentalist","Non-composer","Hip hop","Non-exploring","Not Fluent","Anxious","Depressed","Not Insomniac","Not O-C"
"495","Age 65+","hours <= 2","Not listening while working","Non-instrumentalist","Non-composer","Pop","Non-exploring","Only fluent","Fairly Anxious","Not Depressed","Not Insomniac","Not O-C"
"496","Age 35-44","hours <= 2","Listening while working","Non-instrumentalist","Non-composer","Hip hop","Non-exploring","Only fluent","Anxious","Fairly Depressed","Not Insomniac","Not O-C"
